region,organisation,id_text,unique_resource_id,title,language,abstract,topic_category,keywords,temporal_extent_start,temporal_extent_end,dataset_reference_date,lineage,w_long,s_lat,e_long,n_lat,spatial_reference_system,responsible_organisation_name,contact_mail_address,responsible_party_role,frequency_update,limitations_access,use_constraints,data_format,accuracy,metadata_date,metadata_point_contact,resource_type,original_title,id,status
FK,EPD,13,FK-EPD-13,FIBDv8 20140601 locations,eng,"Records containing the names, surface area, elevation and geographical co-ordinates of all islands (with the exception of islands in freshwater bodies) in the Falkland Islands are extracted from a database (known as the Falkland Islands Biodiversity Database). All records, which correspond to points in the space, have been entered in association with the date of survey visit, surveyor's name and affiliation. A desktop assessment, for example using Google Earth or aerial photographic images, is also considered to be a 'visit'. Disclaimer:  surface area and elevation are not considered to be entirely reliable and should be used with caution. ",location,"Falkland Islands, location, geographical co-ordinates, hectares, elevation",2001-01-01,2014-12-31,2014,"Surface area (in hectares) is derived from either Robin Woods (2001) or survey data recorded on site using GPS units or desktop estimates using Google Earth satellite imagery; elevation is derived from a spot height where this is shown on the DOS map, or from on-site GPS data. Geographical co-ordinates are the centroid point for each island, recorded in the field with a GPS or from a desktop assessment using Google Earth satellite imagery. ",-61.4548,-52.9257,-57.6865,-50.9992,WGS84,"1)Falkland Islands Government - Environmental Planning Department


2)SAERI 
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands","1) environmental.officer@sec.gov.fk 
2) datamanager@saeri.org","1) owner, user, point of contact
2) custodian, resource provider, distributor, user",as needed,Open Access,Free for commercial and non-commercial usePlease acknowledge FIG Environmental and Planning Department as the data source for any products developed from these data,csv,"GPS (island location) accuracy is 5 to 10 metres.
Google Earth accuracy is 10 to 20 metres",2014-05-14,sallyponcet@horizon.co.fk,Dataseries,All_Falkls_2014_03_22,13,1
FK,EPD,14,FK-EPD-14,FIBDv8 20140601 visits,eng,"The file visits is darived from the database (known as the Falkland Islands Biodiversity Database) containing records for survey visits to all islands (with the exception of islands in freshwater bodies) in the Falkland Islands. The Visits data field is essential for ensuring systematic data entry of all environmental data (birds, mammals, invasive species, plants, eradiacation and tussac). In fact, all records relating to these items have been entered in association with the date of survey visit, surveyor's name and affiliation. The main purpose of the file visit is to provide an easy understanding of the areas that have been visited more often by researchers and which still need more investigation. It is worth noting that a desktop assessment, for example using Google Earth or aerial photographic images, is also considered to be a 'visit'. ",location,"Falkland Islands, survey, scientific expedition, effort",1765-01-01,2014-12-31,2014,"The file was created by pulling together information from the FIDB main tables: bird, plants, mammals, eradication, invasives, tussac. From each table, the following columns were copied and pasted in a new  table. lat, long, english name, day, month, year, surveyors, organisation, full reference, notes. Then, it was necessary to add a unique ID number and a field called category to associate each record with the purpose of the survey.",-61.4548,-52.9257,-57.6865,-50.9992,WGS84,"1)Falkland Islands Government - Environmental Planning Department 

2)SAERI 
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands","1) environmental.officer@sec.gov.fk

2) datamanager@saeri.org","1) owner, user, point of contact

2) custodian, resource provider, distributor, user",as needed,Open Access,Free for commercial and non-commercial use.Please acknowledge FIG Environmental and Planning Department as the data source for any products developed from these data.,csv,Date is not always complete as DD/MM/YY  ,2014-05-14,sallyponcet@horizon.co.fk,Dataseries,fidb_visits_20140601,14,1
FK,DMR,15,FK-DMR-15,Onshore Falklands solid geology ,eng,"Falkland Islands geological map, solid bedrock, produced for the Falkland Islands Government by the British Geological Survey.",geoscientific information,"Falkland Islands, geology, solid bedrock",1920-01-01,1998-12-31,1998,"Original geological survey by H.A.Baker government geologist 1920-1922. Resurveyed photogeologically by M.E. Greenway British Antarctic Survey 1970-1972. Resurveyed at 1:50.000 scale by D.T.Aldiss and E.J. Edwards, Falkland Islands geological mapping project 1996-1998. Additional information available from map and report. The map is derived from 1:50.000 scale manuscript compilations and may involve some generalisation of the geology. The original shape file did not overlap with the current boundaries of the Falklands. Hence it has been digitise again (Tom McAdam -  http://www.aqua-mail.com)  by keeping the attribute table untouched.",187318.6,4187341.79,452805.5,4341422.96,UTM 21S WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, owner (along with NERC), distributor, point of contact, publisher",unknown,Open Access,"Copyright applies and should be cited as: Copyright NERC and Falkland Islands Government 1999. All rights reserved
If data are used please also acknowledge FIG EPD, FIG DMR, FIG Natural resources and SAERI.",shape,map has been derived from 1:50.000 scale manuscript compilations,2014-06-23,info@mineralresources.gov.fk,Dataset,solid_all,15,1
FK,DMR,16,FK-DMR-16,Onshore Falklands superficial geology,eng,"Falkland Islands geological map, superficial deposits, produced for the Falkland Islands Government by the British Geological Survey.",geoscientific information,"Falkland Islands, geology, superficial deposit",1920-01-01,1998-12-31,1998,"Original geological survey by H.A.Baker government geologist 1920-1922. Resurveyed photogeologically by M.E. Greenway British Antarctic Survey 1970-1972. Resurveyed at 1:50.000 scale by D.T.Aldiss and E.J. Edwards, Falkland Islands geological mapping project 1996-1998. Additional information from map and report. The original shape file did not overlap with the current boundaries of the Falklands. Hence it has been digitise again (Tom McAdam -  http://www.aqua-mail.com) by keeping the attribute table untouched",187318.6,4187341.79,452805.5,4341422.96,UTM 21S WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, owner (along with NERC), distributor, point of contact, resource provider",unknown,Open Access,"Copyright applies and should be cited as: Copyright NERC and Falkland Islands Government 1999. All rights reserved.
If data are used please also acknowledge FIG EPD, FIG DMR, FIG Natural resources and SAERI.",shape,map has been derived from 1:50.000 scale manuscript compilations,2014-06-23,info@mineralresources.gov.fk,Dataset,superficial_all,16,1
FK,DMR,17,FK-DMR-17,Onshore Falklands structure geology,eng,"Falkland Islands geological map, structures, produced for the Falkland Islands Government by the British Geological Survey.",geoscientific information,"Falkland Islands, geology, structures",1920-01-01,1998-12-31,1998,"Original geological survey by H.A.Baker government geologist 1920-1922. Resurveyed photogeologically by M.E. Greenway British Antarctic Survey 1970-1972. Resurveyed at 1:50.000 scale by D.T.Aldiss and E.J. Edwards, Falkland Islands geological mapping project 1996-1998. Additional information from map and report. The original shape file did not overlap with the current boundaries of the Falklands. Hence it has been digitise again (Tom McAdam -  http://www.aqua-mail.com) by keeping the attribute table untouched",187318.6,4187341.79,452805.5,4341422.96,UTM 21S WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, owner (along with NERC), distributor, point of contact, resource provider",unknown,Open Access,"Copyright applies and should be cited as: Copyright NERC and Falkland Islands Government 1999. All rights reserved.
If data are used please also acknowledge FIG EPD, FIG DMR, FIG Natural resources and SAERI.",shape,map has been derived from 1:50.000 scale manuscript compilations,2014-06-23,info@mineralresources.gov.fk,Dataset,solid_symbols_all,17,1
FK,DMR,18,FK-DMR-18,Oil and gas production licence areas 2016,eng,"Production licence areas currently (May 2014) held by operators within the Falkland Islands designated area, less than 200 nautical miles. The file contains all the areas merged together, however single files for each individual area area available on request.",economy,"Falkland Islands, production licence area, oil and gas, oil, gas, hydrocarbons, exploration, acreage, lease",1998-01-01,2016-12-31,2016,"The production licenses were granted in 1998 through competitive licence, while between 2000 and 2005 were granted in open door round by the Falkland Islands Government. Licence areas have been subject to relinquishments since. The shape of the licence areas and relinquishments is partly regulated by Offshore Petroleum (licensing) regulations 1995 and 2000, and subsequent amendments.",-60.2,-54,-53.0002,-49,WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, originator, owner, distributor, point of contact, resource provider",as needed,"Restricted, send data request to data owner","Please acknowledge: ""With courtesy of Falkland Islands Department of Mineral Resources""",shape,nearest to a minute of latitude and longitude,2014-06-23,info@mineralresources.gov.fk,Dataset,production_licence_areas_2014_05,18,1
FK,DMR,19,FK-DMR-19,Falklands blocks,eng,Blocks of 12 minutes longitude by 10 minutes latitude. There are 30 blocks per quadrat.,boundary,"Falkland Islands, blocks",1998-01-01,2014-12-31,2014,Source is unknown. It is reckoned that the file has been derived from generic latitude/longitude grid.,-64,-57,-51,-46,WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, distributor, user, resource provider",as needed,Open Access,Open Access,shape,1 minute latitude and longitude,2014-06-23,info@mineralresources.gov.fk,Dataset,flk_block_p,19,1
FK,DMR,20,FK-DMR-20,Falklands blocks clipped to fisheries designated areas,eng,"Blocks of 12 minutes longitude by 10 minutes latitude, clipped to Falkland islands designated areas",boundary,"Falkland Islands, blocks",1998-01-01,2014-12-31,2014,Source is unknown. It is reckoned that the file has been derived from generic latitude/longitude grid.,-63.5179,-56.224,-52.3278,-47.6918,WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, distributor, user, resource provider",as needed,Open Access,Open Access,shape,1 minute latitude and longitude,2014-06-23,info@mineralresources.gov.fk,Dataset,flk_block_d,20,1
FK,DMR,21,FK-DMR-21,Falklands quadrats ,eng,Quadrats of 1 degrees latitude and longitude. ,boundary,"Falkland Islands, quadrats",1998-01-01,2014-12-31,2014,Source is unknown. It is reckoned that the file has been derived from generic latitude/longitude grid.,-77,-60,-43,-42,WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, distributor, user, resource provider",as needed,Open Access,Open Access,shape,1 minute latitude and longitude,2014-06-23,info@mineralresources.gov.fk,Dataset,flk_quad_p,21,1
FK,DMR,22,FK-DMR-22,Falklands quadrats clipped to fisheries designated areas,eng,Quadrats of 1 degrees latitude and longitude clipped to the Falkland Islands designated areas. Quadrats have number for internal use of the department of mineral resources. ,boundary,"Falkland Islands, quadrats",1998-01-01,2014-12-31,2014,Source is unknown. It is reckoned that the file has been derived from generic latitude/longitude grid.,-63.5179,-56.224,-52.3278,-47.6918,WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, distributor, user, publisher",as needed,Open Access,Open Access,shape,1 minute latitude and longitude,2014-06-23,info@mineralresources.gov.fk,Dataset,flk_quad_d,22,1
FK,DMR,23,FK-DMR-23,Hydrocarbon well locations 2016,eng,Hydrocarbon wells drilled in the Falkland Islands designated area,economy,"Falkland Islands, quadrats , well, oil and gas, oil, gas, hydrocarbons",1998-01-01,2016-12-31,2016,Data submitted to the Falkland Islands Government by oil companies.,-59.4965,-53.6911,-53.6199,-49.1623,WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, distributor, user, resource provider",as needed,"Restricted, send data request to data owner","Please acknowledge: ""With courtesy of Falkland Islands Department of Mineral Resources""",shape,1 minute latitude and longitude,2014-06-23,info@mineralresources.gov.fk,Dataset,well_locations_2014_05,23,1
FK,DMR,24,FK-DMR-24,Offshore geological regional structures,eng,Map of geological regional structure offshore the Falkland Islands,geoscientific information,"Falkland Islands, geology, structures",1994-01-01,1994-12-31,1994,Drawn by Dr Phil Richards of BGS based on 1977 (Western and GSI) and 1993 (Geco-Prakla and Spectrum) seismic data.,-66.5266,-54.3691,-52.0511,-48.7452,WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, owner (along with NERC), distributor, point of contact, publisher",unknown,"Restricted, send data request to data owner",Copyright applies and should be cited as: Copyright NERC and Falkland Islands Government 1994. All rights reserved,shape,unknown,2014-06-23,info@mineralresources.gov.fk,Dataset,Regional_structures,24,1
